Review,Rating,Cleaned_Review,VADER_Compound,VADER_Positive,VADER_Negative,VADER_Neutral,Sentiment
"Thoroughly enjoyed. Went in skeptical and prepared to dislike this modern live-action retelling of Disney's Snow White. Casting was fine and well acted. I enjoyed Pasek & Paul's new songs...think mixture of Greatest Showman with Disney sound. Ziegler's voice is a highlight. I thought the seven dwarfs were hilarious and great; very cgi but it worked. A great mix of modern and nostalgia. If I want to see the original, I'll just watch the original. What didn't work for me was costuming/look of Jonathan (new character love interest for Snow White, just a bit too grungy bohemian of a look), and the Evil Queen's song was too whimsical. Otherwise, great movie. I didn't look at my watch once in the theater, which is common for me if movie is overly long or boring me. Go see it, if only to form your own opinion.",8/10,thoroughli enjoy went skeptic prepar dislik modern retel disney snow white cast fine well act enjoy pasek paul new song think mixtur greatest showman disney sound ziegler voic highlight thought seven dwarf hilari great cgi work great mix modern nostalgia want see origin watch origin work jonathan new charact love interest snow white bit grungi bohemian look evil queen song whimsic otherwis great movi look watch theater common movi overli long bore go see form opinion,0.9825,0.352,0.078,0.57,Positive
"This movie does not deserve the hate it is getting. I definitely recommend giving it a watch. Snow White was a fun movie for the entire family. It stayed true to the original and was beautifully done. Rachel Ziegler was a true talent and Gal Gadot delivers a good performance as the evil queen. Dwarves were fun. Costumes on the evil queen were outstanding. Set design was beautiful. The cgi on the animals is the best Disney has done in a long time. As a whole the movie was good, Could it have been better, of course. But as a whole it was a cute movie and I think you should definitely give it a watch.",7/10,movi deserv hate get definit recommend give watch snow white fun movi entir famili stay true origin beauti done rachel ziegler true talent gal gadot deliv good perform evil queen dwarf fun costum evil queen outstand set design beauti cgi anim best disney done long time whole movi good could better cours whole cute movi think definit give watch,0.9578,0.367,0.138,0.495,Positive
"The remake of Snow White is far from living up to its beloved origins. The film fails to capture the charm and magic of the original, and its modern reinterpretation leaves much to be desired. The acting performances are lackluster and unconvincing, with the cast struggling to truly inhabit their roles.

Similarly, the singing-a cornerstone of any classic Disney production-falls flat, delivering numbers that are both technically weak and emotionally uninspired.

This review is not about political correctness or the current trend of being ""woke."" Instead, it's about a missed opportunity to honor a timeless tale. Disney had the chance to recapture the nostalgic essence that made the original so cherished but instead opted for a misguided reinvention that erases much of the magic and wonder we once knew. The story, characters, and musical numbers suffer from a lack of creative vision, resulting in a product that is both disappointing and disheartening.

Ultimately, the Snow White remake is not worth the entry price, as it fails to evoke the emotional resonance and excitement that audiences expect from a Disney classic. It's a stark reminder that sometimes, in the pursuit of modernity, the heart of the story is lost in translation.",1/10,remak snow white far live belov origin film fail captur charm magic origin modern reinterpret leaf much desir act perform lacklust unconvinc cast struggl truli inhabit role similarli cornerston classic disney flat deliv number technic weak emot uninspir review polit correct current trend woke instead miss opportun honor timeless tale disney chanc recaptur nostalg essenc made origin cherish instead opt misguid reinvent eras much magic wonder knew stori charact music number suffer lack creativ vision result product disappoint dishearten ultim snow white remak worth entri price fail evok emot reson excit audienc expect disney classic stark remind sometim pursuit modern heart stori lost translat,-0.9062,0.117,0.197,0.686,Negative
"This movie makes no sense. It is a complete disaster. My 5-year-old was so upset because the cartoons she watched did not look the same in the film. Disney did not work on the script, horrible actor selection and extremely poor CGI. This movie has everything wrong with modern cinema. The lead actress has no charisma and is not talented to work on classics like Snow White. The screenplay is poor and filibustering. I highly recommend not watching this movie, it is indeed a big disappointment. Disney needs to change its leadership and must remember who the core audience is. If the parents don't like it, then the kids don't like it either. 5 years old are not paying to watch ridiculous movies.",1/10,movi make sens complet disast upset cartoon watch look film disney work script horribl actor select extrem poor cgi movi everyth wrong modern cinema lead actress charisma talent work classic like snow white screenplay poor filibust highli recommend watch movi inde big disappoint disney need chang leadership must rememb core audienc parent like kid like either year old pay watch ridicul movi,-0.4939,0.16,0.201,0.639,Negative
"Snow White, the original animated film, was incredibly popular and was responsible for a much needed morale boost during a dark time in the US and the globe.

The remake is not a credit to the original, in many ways it makes a mockery of the original, taking the beloved character and shifting her entirely into someone else.

The music was halfhearted and the dwarves felt like an afterthought, the plot doesn't really involve them beyond their presence, you can tell that many retakes occurred and that fact should be invisible to the audience.

Do better Disney, this was a shame and I cannot determine for the life of me, why Disney would do this.",1/10,snow white origin anim film incred popular respons much need moral boost dark time u globe remak credit origin mani way make mockeri origin take belov charact shift entir someon els music halfheart dwarf felt like afterthought plot realli involv beyond presenc tell mani retak occur fact invis audienc better disney shame determin life disney would,0.8555,0.206,0.047,0.747,Positive
,1/10,nan,0.0,0.0,0.0,1.0,Neutral
"The original was made almost 90 years ago and sadly you'd think that period of time would mean significant improvements in the ability to make a good movie while there's lots of shiny CGI it just doesn't gel. Disney seem to be on a roll, they bought the Star Wars & Marvel franchises a few years ago and those have been on a steady decline ever since. Unfortunately, the only thing this live action remake looks set to beat is the very low IMDB rating of the 2022 Pinocchio live action remake which has a rating of just 5/10, even with the star power of Tom Hanks, Snow White is sitting at 2 at the moment. The live action version of Mulan also bombed at the box office, Peter Pan & Wendy 2023 (with an IMDB of just 4.4) was also pretty dire. It seems there's also a live action version of Bambi in the works which doesn't bode well.",1/10,origin made almost year ago sadli think period time would mean signific improv abil make good movi lot shini cgi gel disney seem roll bought star war marvel franchis year ago steadi declin ever sinc unfortun thing live action remak look set beat low imdb rate pinocchio live action remak rate even star power tom hank snow white sit moment live action version mulan also bomb box offic peter pan wendi imdb also pretti dire seem also live action version bambi work bode well,-0.6597,0.08,0.126,0.794,Negative
"If you ever wondered how a timeless fairy tale could be transmogrified into a cinematic trainwreck, ""Snow White (2025)"" answers that question in the most excruciatingly painful way possible. This live-action disaster-directed by Marc Webb-manages to twist a magical classic into a hollow parody that insults its own source material.

From the first frame to the final cringe-worthy scene, nothing about this film feels authentic or magical. Rachel Zegler's Snow White, instead of exuding grace or wonder, stumbles through a muddled script that seems more intent on pandering to modern gimmicks than honoring a beloved tale. Gal Gadot's Evil Queen, though a familiar face, appears trapped in an identity crisis that renders her both over-the-top and underwhelming. The production's relentless overuse of flashy effects and forced modern sensibilities transforms what should have been a timeless narrative into a disjointed mess-an exercise in creative misdirection that leaves audiences wondering if the director was aiming for satire or if he was simply out of ideas.

The film doesn't just miss the mark-it shatters it into a million unwatchable pieces. It's an utter waste of time and talent, a cinematic abomination that makes you question why any remake was even attempted. Simply put, ""Snow White (2025)"" is a parody of its own potential, a laughable, lifeless rehash that deserves nothing more than a 1/10.

Do yourself a favor: skip this trainwreck.",1/10,ever wonder timeless fairi tale could transmogrifi cinemat trainwreck snow white answer question excruciatingli pain way possibl marc twist magic classic hollow parodi insult sourc materi first frame final scene noth film feel authent magic rachel zegler snow white instead exud grace wonder stumbl muddl script seem intent pander modern gimmick honor belov tale gal gadot evil queen though familiar face appear trap ident crisi render underwhelm product relentless overus flashi effect forc modern sensibl transform timeless narr disjoint exercis creativ misdirect leaf audienc wonder director aim satir simpli idea film miss shatter million unwatch piec utter wast time talent cinemat abomin make question remak even attempt simpli put snow white parodi potenti laughabl lifeless rehash deserv noth favor skip trainwreck,-0.4939,0.092,0.108,0.801,Negative
"I loved it, loved the original and loved this almost even more. Gal Gadot's acting falls kind of flat after the first two scenes she has but she's not in it TOO MUCH at least. Her song was...okay and her transformation scene made me laugh. BUT OTHERWISE, I really loved Rachel and Andrew's performances, their chemistry was great and the songs were fun! I think it's probably Disney's BEST live-action yet.

The dwarves to me weren't freaky (But I can understand why people think they are), and her dress looked much better when it was moving compared to when we just saw still photos of it. Snow White starts off timid and she has to basically find her voice once more, and Jonathan is a great addition (he reminds me a lot of Dimitri in Anastasia so like 10/10 for me lol) it was fun and I really do recommend it!",8/10,love love origin love almost even gal gadot act fall kind flat first two scene much least song okay transform scene made laugh otherwis realli love rachel andrew perform chemistri great song fun think probabl disney best yet dwarf freaki understand peopl think dress look much better move compar saw still photo snow white start timid basic find voic jonathan great addit remind lot dimitri anastasia like lol fun realli recommend,0.995,0.497,0.018,0.485,Positive
,7/10,nan,0.0,0.0,0.0,1.0,Neutral
"A Catastrophe of Epic Proportions - A Career-Low for Everyone Involved

Where do I even begin? This movie is not just bad-it's a cinematic trainwreck that should be studied in film schools as a cautionary tale. Every aspect of this film, from the acting to the script to the direction, feels like a masterclass in how not to make a movie.

Let's start with Gal Gadot. Her line delivery is wooden, her expressions range from mildly confused to completely indifferent, and any attempt at emotion falls flat.

The script is an absolute disaster-full of nonsensical dialogue, forced exposition, and laughable attempts at drama. It's as if the writers Googled how to write a screenplay and then actively ignored every good piece of advice. The pacing is absolutely torturous. Scenes drag on for what feels like hours, yet nothing of importance happens. It's both boring and exhausting, which is a rare and unfortunate combination.

And then there's the direction. The action, if you can call it that, is a jittery mess, with rapid cuts that make even the simplest sequences unwatchable. The cinematography is uninspired, and the tone is all over the place-at times trying to be serious, then suddenly switching to unintentional comedy.

The final nail in the coffin is the sheer lack of originality. Every trope, every cliché, every overused plot device is thrown into the mix with no attempt at innovation. It's as if this movie was made by an AI trained exclusively on the worst action scripts ever written.

Simply put, this film is an insult to audiences. It's not just a bad movie-it's an unwatchable disaster. Save your time, your money, and your sanity. Avoid at all costs.

One star, and only because IMDB won't let me give zero.",1/10,catastroph epic proport everyon involv even begin movi cinemat trainwreck studi film school cautionari tale everi aspect film act script direct feel like masterclass make movi let start gal gadot line deliveri wooden express rang mildli confus complet indiffer attempt emot fall flat script absolut nonsens dialogu forc exposit laughabl attempt drama writer googl write screenplay activ ignor everi good piec advic pace absolut tortur scene drag feel like hour yet noth import happen bore exhaust rare unfortun combin direct action call jitteri mess rapid cut make even simplest sequenc unwatch cinematographi uninspir tone time tri seriou suddenli switch unintent comedi final nail coffin sheer lack origin everi trope everi cliché everi overus plot devic thrown mix attempt innov movi made ai train exclus worst action script ever written simpli put film insult audienc bad unwatch disast save time money saniti avoid cost one star imdb wo let give zero,-0.9186,0.064,0.151,0.785,Negative
